epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
251,0.1213,0.0031,0.1167,0.1529,2.4015,0.2650,0.2728,176
252,0.1208,0.0030,0.1166,0.1521,2.1422,0.3320,0.3076,175
253,0.1221,0.0033,0.1174,0.1539,2.3955,0.2630,0.2687,176
254,0.1209,0.0030,0.1166,0.1522,2.1811,0.3270,0.3067,172
255,0.1217,0.0032,0.1171,0.1527,2.3834,0.2384,0.2237,171
256,0.1203,0.0031,0.1161,0.1514,2.1443,0.3753,0.3628,175
257,0.1207,0.0030,0.1162,0.1511,2.4257,0.2507,0.2382,174
258,0.1217,0.0029,0.1174,0.1536,2.2797,0.2757,0.2669,173
259,0.1213,0.0032,0.1167,0.1528,2.3322,0.2508,0.2487,173
260,0.1216,0.0032,0.1171,0.1532,2.3630,0.2655,0.2562,174
261,0.1220,0.0030,0.1176,0.1539,2.3202,0.2688,0.2798,175
262,0.1215,0.0030,0.1172,0.1527,2.2088,0.3240,0.3148,174
263,0.1225,0.0032,0.1176,0.1537,2.6258,0.2302,0.2149,175
264,0.1214,0.0030,0.1167,0.1525,2.6345,0.2225,0.2165,176
265,0.1216,0.0032,0.1171,0.1538,2.2615,0.2848,0.2837,175
266,0.1212,0.0031,0.1166,0.1527,2.3974,0.2773,0.2568,173
267,0.1212,0.0029,0.1168,0.1529,2.2716,0.2923,0.2844,176
268,0.1216,0.0031,0.1171,0.1528,2.2810,0.2938,0.2957,173
269,0.1211,0.0031,0.1166,0.1518,2.4013,0.2194,0.2091,174
270,0.1214,0.0031,0.1169,0.1527,2.3931,0.2899,0.2920,174
271,0.1205,0.0029,0.1162,0.1522,2.3080,0.2812,0.2887,178
272,0.1207,0.0030,0.1163,0.1528,2.3565,0.2586,0.2518,174
273,0.1216,0.0030,0.1169,0.1526,2.5784,0.2205,0.2199,176
274,0.1204,0.0029,0.1162,0.1519,2.2203,0.3343,0.3276,174
275,0.1205,0.0029,0.1163,0.1522,2.1883,0.3206,0.2980,176
276,0.1236,0.0033,0.1186,0.1558,2.7263,0.2294,0.2271,174
277,0.1236,0.0040,0.1164,0.1528,4.4013,0.0249,0.0364,173
278,0.1232,0.0037,0.1172,0.1537,3.4039,0.1706,0.1773,176
279,0.1214,0.0031,0.1168,0.1537,2.3791,0.2978,0.2707,175
280,0.1220,0.0032,0.1174,0.1535,2.4033,0.2697,0.2623,174
281,0.1201,0.0029,0.1158,0.1520,2.3009,0.2605,0.2552,173
282,0.1200,0.0029,0.1158,0.1521,2.1722,0.3363,0.3196,173
283,0.1201,0.0029,0.1158,0.1521,2.2845,0.2659,0.2626,175
284,0.1213,0.0030,0.1169,0.1531,2.3699,0.2671,0.2571,172
285,0.1201,0.0029,0.1158,0.1510,2.2526,0.2765,0.2619,175
286,0.1198,0.0029,0.1155,0.1521,2.2920,0.2850,0.2806,173
287,0.1205,0.0029,0.1161,0.1520,2.3894,0.2269,0.2208,175
288,0.1211,0.0029,0.1167,0.1535,2.3566,0.2759,0.2539,172
289,0.1205,0.0028,0.1163,0.1525,2.2364,0.2815,0.2693,174
290,0.1213,0.0030,0.1167,0.1531,2.4689,0.2457,0.2398,175
291,0.1207,0.0029,0.1164,0.1527,2.3579,0.2503,0.2278,174
292,0.1234,0.0031,0.1181,0.1547,3.1391,0.1344,0.1322,175
293,0.1192,0.0029,0.1150,0.1513,2.2202,0.3548,0.3389,173
294,0.1206,0.0030,0.1161,0.1527,2.3310,0.3001,0.2712,176
295,0.1206,0.0029,0.1163,0.1528,2.3058,0.2510,0.2507,172
296,0.1209,0.0031,0.1163,0.1529,2.5202,0.2723,0.2599,173
297,0.1200,0.0030,0.1153,0.1515,2.5436,0.2222,0.2138,175
298,0.1196,0.0029,0.1155,0.1512,2.1687,0.3668,0.3543,172
299,0.1202,0.0030,0.1159,0.1522,2.2410,0.2907,0.2742,175
300,0.1192,0.0029,0.1150,0.1509,2.1532,0.3030,0.2864,175
301,0.1196,0.0031,0.1149,0.1500,2.4814,0.2192,0.1966,175
302,0.1172,0.0030,0.1124,0.1439,2.6380,0.2127,0.2072,174
303,0.1166,0.0031,0.1118,0.1426,2.7102,0.2139,0.2068,175
304,0.1149,0.0030,0.1103,0.1403,2.5578,0.2270,0.2175,173
305,0.1150,0.0031,0.1102,0.1397,2.6152,0.2405,0.2376,176
306,0.1148,0.0031,0.1101,0.1401,2.4621,0.2265,0.2208,171
307,0.1155,0.0032,0.1104,0.1402,2.8218,0.1718,0.1690,171
308,0.1137,0.0030,0.1092,0.1389,2.4514,0.2737,0.2644,174
309,0.1139,0.0030,0.1093,0.1396,2.4838,0.2617,0.2284,175
310,0.1144,0.0030,0.1098,0.1394,2.4327,0.2636,0.2759,174
311,0.1179,0.0035,0.1117,0.1405,3.8043,0.1002,0.0985,174
312,0.1139,0.0030,0.1092,0.1386,2.5708,0.2875,0.2671,178
313,0.1132,0.0030,0.1088,0.1385,2.2877,0.2795,0.2770,175
314,0.1139,0.0031,0.1092,0.1392,2.4418,0.2623,0.2394,174
315,0.1141,0.0029,0.1096,0.1394,2.4808,0.2495,0.2301,177
316,0.1136,0.0030,0.1090,0.1391,2.5001,0.2551,0.2754,174
317,0.1133,0.0029,0.1088,0.1381,2.4859,0.2290,0.2226,174
318,0.1131,0.0029,0.1089,0.1385,2.2814,0.2914,0.2915,174
319,0.1135,0.0029,0.1089,0.1381,2.5175,0.2219,0.2199,177
320,0.1144,0.0029,0.1097,0.1402,2.5536,0.2287,0.2330,173
321,0.1133,0.0029,0.1087,0.1381,2.4978,0.2377,0.2405,173
322,0.1130,0.0030,0.1085,0.1382,2.4108,0.2617,0.2476,176
323,0.1138,0.0031,0.1091,0.1393,2.5105,0.2416,0.2381,176
324,0.1141,0.0030,0.1094,0.1400,2.5811,0.2044,0.2052,175
325,0.1127,0.0029,0.1083,0.1385,2.3346,0.2985,0.2978,176
326,0.1139,0.0029,0.1093,0.1394,2.4416,0.2391,0.2165,176
327,0.1135,0.0029,0.1090,0.1387,2.4078,0.2715,0.2679,172
328,0.1128,0.0029,0.1084,0.1385,2.3576,0.2671,0.2645,176
329,0.1141,0.0030,0.1095,0.1390,2.5676,0.2320,0.2210,175
330,0.1138,0.0029,0.1093,0.1399,2.5189,0.2152,0.1976,173
331,0.1190,0.0042,0.1122,0.1432,3.8628,0.1530,0.1676,177
332,0.1161,0.0042,0.1086,0.1390,4.5249,0.0297,0.0336,175
333,0.1141,0.0033,0.1086,0.1372,3.1643,0.1358,0.1288,176
334,0.1138,0.0032,0.1089,0.1388,2.7489,0.2242,0.2067,176
335,0.1135,0.0030,0.1087,0.1382,2.7387,0.2079,0.2034,176
336,0.1130,0.0030,0.1085,0.1381,2.4293,0.2700,0.2492,175
337,0.1130,0.0030,0.1084,0.1374,2.5184,0.2617,0.2509,174
338,0.1120,0.0030,0.1075,0.1365,2.4329,0.2395,0.2223,174
339,0.1118,0.0030,0.1072,0.1346,2.4663,0.2521,0.2403,174
340,0.1101,0.0029,0.1054,0.1319,2.5681,0.2525,0.2367,174
341,0.1109,0.0030,0.1061,0.1320,2.7055,0.2106,0.1959,176
342,0.1107,0.0032,0.1056,0.1308,2.9736,0.1590,0.1545,177
343,0.1090,0.0030,0.1041,0.1284,2.7859,0.2361,0.2154,173
344,0.1077,0.0029,0.1031,0.1263,2.5684,0.2520,0.2422,174
345,0.1080,0.0029,0.1033,0.1268,2.7411,0.1994,0.1831,174
346,0.1085,0.0033,0.1033,0.1272,2.9208,0.1752,0.1775,174
347,0.1070,0.0029,0.1023,0.1254,2.6219,0.2602,0.2416,176
348,0.1075,0.0030,0.1026,0.1264,2.8435,0.1748,0.1701,174
349,0.1071,0.0030,0.1023,0.1250,2.6658,0.2234,0.2257,179
350,0.1078,0.0030,0.1029,0.1260,2.7449,0.2092,0.2056,176
351,0.1073,0.0030,0.1025,0.1268,2.6809,0.2439,0.2268,176
352,0.1068,0.0029,0.1020,0.1251,2.7259,0.2156,0.2069,173
353,0.1070,0.0030,0.1023,0.1262,2.6191,0.2301,0.2219,177
354,0.1070,0.0031,0.1022,0.1257,2.7179,0.1904,0.1973,173
