epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
159,0.0204,0.0018,0.0175,0.0031,1.6270,0.3292,0.3262,89
160,0.0177,0.0019,0.0147,0.0009,1.6836,0.3122,0.3008,89
161,0.0164,0.0019,0.0134,0.0009,1.6334,0.3331,0.3315,89
162,0.0156,0.0019,0.0128,0.0009,1.5378,0.4275,0.4195,89
163,0.0153,0.0018,0.0124,0.0008,1.6125,0.3363,0.3272,89
164,0.0152,0.0019,0.0123,0.0009,1.5229,0.3728,0.3708,89
165,0.0149,0.0018,0.0121,0.0007,1.5292,0.3603,0.3537,89
166,0.0148,0.0019,0.0120,0.0008,1.5222,0.3618,0.3579,89
167,0.0147,0.0018,0.0119,0.0008,1.5000,0.3865,0.3845,89
168,0.0141,0.0017,0.0114,0.0008,1.4770,0.4348,0.4331,89
169,0.0143,0.0018,0.0116,0.0009,1.4686,0.4143,0.4033,89
170,0.0139,0.0017,0.0112,0.0005,1.4590,0.3844,0.3793,89
171,0.0142,0.0018,0.0114,0.0007,1.5185,0.4101,0.4122,90
172,0.0140,0.0017,0.0113,0.0007,1.5590,0.3875,0.3703,89
173,0.0145,0.0018,0.0117,0.0010,1.4753,0.4223,0.4142,89
174,0.0135,0.0018,0.0108,0.0005,1.4623,0.3955,0.3940,89
175,0.0138,0.0018,0.0111,0.0009,1.4414,0.4066,0.4026,89
176,0.0137,0.0017,0.0111,0.0006,1.4825,0.4247,0.4130,89
177,0.0137,0.0018,0.0110,0.0007,1.4591,0.4028,0.3926,90
178,0.0132,0.0016,0.0106,0.0006,1.4113,0.4093,0.4058,90
179,0.0137,0.0017,0.0110,0.0006,1.4400,0.4071,0.3974,90
180,0.0137,0.0018,0.0110,0.0009,1.4710,0.3952,0.3908,90
181,0.0134,0.0016,0.0108,0.0004,1.4936,0.3861,0.3754,90
182,0.0132,0.0017,0.0106,0.0007,1.4816,0.3813,0.3701,89
183,0.0136,0.0017,0.0109,0.0009,1.4798,0.3820,0.3736,89
184,0.0133,0.0017,0.0107,0.0007,1.4595,0.3862,0.3807,89
185,0.0133,0.0017,0.0107,0.0008,1.4616,0.4106,0.3955,89
186,0.0132,0.0017,0.0104,0.0007,1.5091,0.3830,0.3769,89
187,0.0131,0.0017,0.0104,0.0006,1.4887,0.4003,0.3866,89
188,0.0132,0.0016,0.0106,0.0006,1.4761,0.3921,0.3847,89
189,0.0134,0.0017,0.0107,0.0007,1.4748,0.3993,0.3954,89
190,0.0130,0.0016,0.0104,0.0006,1.4763,0.4146,0.4020,89
191,0.0132,0.0017,0.0106,0.0007,1.4554,0.4034,0.3935,89
192,0.0128,0.0016,0.0103,0.0008,1.4684,0.3753,0.3791,89
193,0.0133,0.0017,0.0106,0.0010,1.4860,0.3987,0.3833,89
194,0.0129,0.0016,0.0103,0.0007,1.4874,0.3777,0.3723,89
195,0.0132,0.0016,0.0105,0.0006,1.5178,0.3884,0.3785,89
196,0.0131,0.0018,0.0104,0.0006,1.5045,0.3718,0.3647,89
197,0.0132,0.0016,0.0106,0.0006,1.5013,0.3615,0.3656,90
198,0.0130,0.0016,0.0104,0.0005,1.4748,0.3934,0.3771,89
199,0.0130,0.0016,0.0104,0.0008,1.4933,0.4055,0.3899,89
200,0.0130,0.0016,0.0104,0.0007,1.5008,0.3819,0.3746,89
