epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
139,0.0312,0.0023,0.028,0.0078,1.5878,0.3983,0.3918,91
140,0.0313,0.0023,0.0282,0.0079,1.5337,0.4178,0.4122,91
141,0.0307,0.0022,0.0276,0.0072,1.4804,0.4752,0.4758,92
142,0.0305,0.0023,0.0275,0.0068,1.4574,0.4564,0.4315,92
143,0.0306,0.0023,0.0275,0.0072,1.4897,0.4291,0.4332,92
144,0.031,0.0023,0.0279,0.0076,1.5337,0.4102,0.3911,92
145,0.0302,0.0023,0.0271,0.0067,1.543,0.3997,0.3996,92
146,0.0276,0.0023,0.0243,0.004,1.716,0.3354,0.3272,92
147,0.0255,0.0023,0.0223,0.0031,1.6554,0.3803,0.3729,92
148,0.0246,0.0024,0.0213,0.0026,1.6141,0.3672,0.3664,92
149,0.0241,0.0023,0.0209,0.0027,1.5876,0.4074,0.4011,92
150,0.0241,0.0023,0.021,0.0027,1.5255,0.4143,0.4145,92
151,0.0238,0.0023,0.0206,0.0025,1.6516,0.3583,0.3583,91
152,0.0236,0.0021,0.0206,0.0025,1.5342,0.4291,0.4163,91
153,0.0231,0.0022,0.02,0.0024,1.531,0.3922,0.3891,92
154,0.0234,0.0023,0.0202,0.0024,1.5637,0.3871,0.3847,92
155,0.0235,0.0024,0.0202,0.0026,1.5748,0.4039,0.396,92
156,0.023,0.0022,0.0199,0.0023,1.5672,0.3962,0.3843,92
157,0.0234,0.0023,0.0203,0.0026,1.4882,0.4267,0.4269,92
158,0.0223,0.0022,0.0195,0.0026,1.2293,0.5376,0.5209,92
159,0.0224,0.0022,0.0196,0.0023,1.3237,0.451,0.4391,92
160,0.0225,0.002,0.0197,0.0025,1.3797,0.4369,0.442,92
161,0.0229,0.0023,0.0198,0.0026,1.4669,0.4279,0.4177,92
162,0.0226,0.0023,0.0196,0.0023,1.4592,0.4647,0.4402,92
163,0.0234,0.0021,0.0204,0.0027,1.5704,0.3803,0.3846,92
164,0.0229,0.0022,0.0199,0.0027,1.4734,0.4461,0.4349,92
165,0.0224,0.0022,0.0194,0.0024,1.4593,0.4297,0.4286,92
166,0.0227,0.0021,0.0197,0.0027,1.4878,0.4193,0.4119,92
167,0.0223,0.0021,0.0193,0.0025,1.469,0.4221,0.411,92
168,0.0228,0.0021,0.0198,0.003,1.4841,0.4121,0.4063,92
169,0.0224,0.0021,0.0195,0.0025,1.4448,0.4404,0.4417,92
170,0.0225,0.0021,0.0196,0.0028,1.4805,0.399,0.3912,92
171,0.0229,0.0022,0.0199,0.0026,1.5154,0.4279,0.4088,92
172,0.0223,0.0021,0.0194,0.0026,1.4471,0.447,0.4535,92
173,0.0225,0.0022,0.0195,0.0026,1.4603,0.4235,0.4083,92
174,0.0223,0.002,0.0194,0.0026,1.4848,0.4153,0.4092,92
175,0.0222,0.0022,0.0192,0.0024,1.497,0.4037,0.3947,92
176,0.0226,0.0022,0.0195,0.0026,1.4919,0.4082,0.4033,92
177,0.0227,0.0022,0.0197,0.0027,1.501,0.4095,0.4057,92
178,0.0228,0.0022,0.0197,0.0026,1.5348,0.4056,0.3961,92
179,0.022,0.0022,0.019,0.0024,1.4761,0.4431,0.4293,92
180,0.0222,0.002,0.0192,0.0027,1.5299,0.4016,0.3874,91
181,0.0213,0.002,0.0184,0.0019,1.5702,0.3747,0.3796,91
182,0.0184,0.0022,0.0152,0.0011,1.6615,0.3679,0.3539,91
183,0.0167,0.0021,0.0136,0.0009,1.6676,0.3688,0.3634,92
184,0.016,0.0021,0.0128,0.0007,1.6813,0.3466,0.3398,92
185,0.0157,0.0021,0.0126,0.0008,1.6081,0.3789,0.3672,92
186,0.0153,0.002,0.0123,0.0009,1.6128,0.386,0.3812,92
187,0.0154,0.0021,0.0123,0.0007,1.613,0.3657,0.3632,91
188,0.0147,0.0019,0.0118,0.0006,1.5919,0.4144,0.3901,91
189,0.0147,0.002,0.0117,0.0006,1.595,0.3904,0.3904,92
190,0.0146,0.002,0.0116,0.0007,1.5563,0.3988,0.3865,92
191,0.0149,0.002,0.0119,0.001,1.6054,0.3806,0.366,92
192,0.0154,0.002,0.0124,0.0008,1.5826,0.3776,0.3668,92
193,0.0146,0.002,0.0116,0.0008,1.5712,0.4043,0.4023,92
194,0.0146,0.002,0.0116,0.0009,1.5821,0.4329,0.4176,92
195,0.0144,0.002,0.0115,0.0008,1.5497,0.3855,0.3862,92
196,0.0145,0.002,0.0115,0.0009,1.534,0.3984,0.3781,92
197,0.0144,0.002,0.0114,0.0007,1.5559,0.3943,0.4006,92
198,0.0143,0.002,0.0113,0.0006,1.5804,0.3702,0.3648,91
199,0.0145,0.0019,0.0116,0.0007,1.5238,0.4217,0.4123,92
200,0.0145,0.0022,0.0113,0.0007,1.6066,0.388,0.3747,91
