epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
133,0.0970,0.0043,0.0916,0.1071,2.4254,0.1871,0.1850,71
134,0.0970,0.0045,0.0912,0.1064,2.6227,0.1707,0.1593,71
135,0.0967,0.0042,0.0913,0.1065,2.4001,0.2031,0.1922,71
136,0.0961,0.0043,0.0907,0.1064,2.4076,0.1975,0.1953,71
137,0.0966,0.0044,0.0909,0.1062,2.6292,0.1584,0.1581,71
138,0.0963,0.0042,0.0910,0.1065,2.4137,0.2007,0.1949,71
139,0.0961,0.0043,0.0907,0.1059,2.4607,0.2046,0.2026,71
140,0.0965,0.0043,0.0910,0.1066,2.4863,0.1873,0.1765,71
141,0.0968,0.0044,0.0912,0.1070,2.5526,0.1627,0.1683,71
142,0.0958,0.0042,0.0905,0.1060,2.4503,0.2047,0.2003,71
143,0.0960,0.0042,0.0908,0.1066,2.3327,0.2192,0.2160,71
144,0.0955,0.0042,0.0901,0.1063,2.3891,0.2301,0.2174,71
145,0.0958,0.0041,0.0905,0.1063,2.4322,0.1757,0.1756,71
146,0.0960,0.0042,0.0906,0.1077,2.4918,0.1877,0.1813,71
147,0.0958,0.0042,0.0904,0.1058,2.4829,0.2036,0.1849,71
148,0.0956,0.0044,0.0901,0.1065,2.4702,0.1923,0.1874,71
149,0.0956,0.0042,0.0903,0.1065,2.3815,0.2156,0.2113,71
150,0.0958,0.0041,0.0904,0.1068,2.4455,0.1965,0.1878,71
151,0.0957,0.0041,0.0903,0.1061,2.4965,0.1875,0.1836,71
152,0.0957,0.0042,0.0903,0.1071,2.5073,0.2123,0.1987,71
153,0.0944,0.0046,0.0886,0.1032,2.5677,0.1526,0.1511,71
154,0.0909,0.0049,0.0849,0.0969,2.6083,0.1791,0.1750,71
155,0.0904,0.0051,0.0842,0.0952,2.5920,0.1735,0.1653,71
156,0.0902,0.0050,0.0841,0.0953,2.6210,0.1769,0.1719,71
157,0.0903,0.0050,0.0841,0.0964,2.6663,0.1576,0.1450,71
158,0.0893,0.0048,0.0834,0.0948,2.5392,0.2177,0.2156,71
159,0.0899,0.0047,0.0839,0.0952,2.6461,0.1596,0.1581,71
160,0.0897,0.0048,0.0838,0.0957,2.5806,0.1761,0.1737,71
161,0.0896,0.0048,0.0836,0.0953,2.6523,0.1740,0.1707,71
162,0.0897,0.0048,0.0837,0.0954,2.5898,0.1989,0.1989,71
163,0.0895,0.0048,0.0835,0.0956,2.6231,0.1845,0.1821,71
164,0.0889,0.0048,0.0831,0.0953,2.4250,0.2470,0.2407,71
165,0.0892,0.0047,0.0833,0.0953,2.6320,0.1560,0.1565,71
166,0.0891,0.0046,0.0833,0.0957,2.5031,0.1953,0.1880,71
167,0.0893,0.0046,0.0835,0.0959,2.6068,0.1834,0.1768,71
168,0.0885,0.0048,0.0826,0.0942,2.5984,0.1850,0.1845,71
169,0.0891,0.0047,0.0832,0.0954,2.6530,0.1857,0.1735,71
170,0.0889,0.0047,0.0832,0.0957,2.4303,0.2215,0.2095,71
171,0.0887,0.0044,0.0831,0.0958,2.5588,0.1738,0.1737,71
172,0.0889,0.0046,0.0832,0.0963,2.5014,0.1971,0.1965,71
173,0.0889,0.0046,0.0832,0.0971,2.5098,0.2148,0.2033,71
174,0.0888,0.0048,0.0830,0.0958,2.4944,0.1876,0.1857,71
175,0.0892,0.0045,0.0835,0.0976,2.5615,0.1748,0.1760,71
176,0.0889,0.0046,0.0831,0.0970,2.6127,0.1708,0.1558,71
177,0.0884,0.0047,0.0825,0.0954,2.5627,0.1883,0.1829,71
178,0.0885,0.0046,0.0827,0.0961,2.5877,0.1835,0.1760,71
179,0.0883,0.0044,0.0827,0.0962,2.5764,0.1683,0.1650,71
180,0.0882,0.0045,0.0826,0.0963,2.4860,0.2010,0.2034,71
181,0.0884,0.0044,0.0827,0.0959,2.5384,0.1882,0.1738,71
182,0.0878,0.0044,0.0822,0.0956,2.4587,0.2318,0.2232,71
183,0.0877,0.0045,0.0820,0.0951,2.5061,0.1859,0.1750,71
184,0.0877,0.0043,0.0821,0.0955,2.5989,0.1636,0.1662,71
185,0.0871,0.0043,0.0817,0.0953,2.4153,0.2273,0.2204,71
186,0.0876,0.0043,0.0821,0.0964,2.5095,0.1751,0.1646,71
187,0.0853,0.0043,0.0797,0.0914,2.6812,0.1636,0.1600,71
188,0.0823,0.0046,0.0763,0.0860,2.8115,0.1354,0.1326,71
189,0.0819,0.0045,0.0760,0.0860,2.7283,0.1730,0.1661,71
190,0.0819,0.0046,0.0760,0.0860,2.7140,0.1630,0.1629,71
191,0.0813,0.0046,0.0755,0.0851,2.5889,0.1932,0.1873,71
192,0.0813,0.0047,0.0752,0.0855,2.8276,0.1662,0.1627,71
193,0.0814,0.0045,0.0755,0.0851,2.7412,0.1594,0.1530,71
194,0.0807,0.0046,0.0748,0.0843,2.7627,0.1445,0.1446,71
195,0.0799,0.0045,0.0740,0.0821,2.7826,0.1499,0.1471,71
196,0.0769,0.0048,0.0706,0.0760,2.9313,0.1687,0.1612,71
197,0.0758,0.0047,0.0697,0.0744,2.7405,0.1807,0.1722,71
198,0.0751,0.0046,0.0689,0.0739,2.9302,0.1221,0.1178,71
