epoch,loss,encoder_mse,dec_mse,bitwise-error,adversarial_bce,discr_cover_bce,discr_encod_bce,duration
177,0.1317,0.0046,0.1247,0.1691,3.7135,0.1441,0.1412,209
178,0.1320,0.0047,0.1250,0.1693,3.6760,0.1343,0.1285,209
179,0.1314,0.0048,0.1242,0.1695,3.7918,0.1186,0.1158,209
180,0.1318,0.0047,0.1247,0.1698,3.7899,0.1176,0.1101,209
181,0.1306,0.0048,0.1234,0.1656,3.8365,0.1087,0.1077,209
182,0.1291,0.0050,0.1216,0.1629,4.0124,0.1076,0.1013,209
183,0.1291,0.0050,0.1216,0.1629,3.9602,0.1098,0.1044,209
184,0.1270,0.0050,0.1196,0.1591,3.9902,0.1241,0.1150,209
185,0.1278,0.0051,0.1203,0.1614,3.9035,0.1215,0.1100,209
186,0.1276,0.0052,0.1200,0.1607,4.0213,0.1120,0.1086,209
187,0.1271,0.0051,0.1194,0.1598,4.0495,0.1042,0.1000,209
188,0.1265,0.0051,0.1190,0.1592,4.0117,0.1164,0.1076,209
189,0.1267,0.0051,0.1190,0.1599,4.0302,0.0985,0.1019,209
190,0.1260,0.0051,0.1185,0.1588,3.9565,0.1162,0.1124,209
191,0.1261,0.0051,0.1185,0.1592,4.0030,0.1072,0.1043,209
192,0.1259,0.0052,0.1183,0.1585,4.0560,0.1007,0.0947,209
193,0.1244,0.0052,0.1166,0.1545,4.0869,0.1014,0.0983,209
194,0.1235,0.0054,0.1155,0.1512,4.1885,0.0949,0.0901,209
195,0.1223,0.0053,0.1143,0.1500,4.1876,0.1084,0.1063,209
196,0.1218,0.0053,0.1139,0.1490,4.1823,0.1029,0.0977,209
197,0.1215,0.0054,0.1135,0.1480,4.2155,0.1056,0.1031,209
198,0.1218,0.0053,0.1138,0.1494,4.2470,0.1054,0.1010,209
199,0.1209,0.0054,0.1129,0.1479,4.2444,0.0950,0.0883,209
200,0.1210,0.0053,0.1131,0.1479,4.2332,0.0941,0.0918,209
201,0.1207,0.0053,0.1129,0.1479,4.0904,0.1156,0.1115,209
202,0.1203,0.0054,0.1123,0.1468,4.2758,0.0872,0.0831,209
203,0.1210,0.0053,0.1129,0.1482,4.3326,0.0904,0.0875,209
204,0.1200,0.0053,0.1120,0.1467,4.2468,0.0922,0.0853,209
205,0.1203,0.0053,0.1122,0.1474,4.3254,0.1060,0.1006,209
206,0.1201,0.0054,0.1120,0.1476,4.3061,0.1007,0.0957,209
207,0.1195,0.0052,0.1116,0.1465,4.2765,0.0990,0.0964,209
208,0.1196,0.0053,0.1116,0.1461,4.3120,0.0892,0.0822,209
209,0.1197,0.0053,0.1117,0.1468,4.2824,0.1056,0.0992,209
210,0.1193,0.0053,0.1113,0.1464,4.2477,0.0902,0.0822,209
211,0.1191,0.0053,0.1111,0.1455,4.2883,0.1019,0.0951,209
212,0.1196,0.0053,0.1117,0.1469,4.2615,0.0953,0.0900,209
213,0.1188,0.0052,0.1108,0.1464,4.3464,0.0921,0.0873,209
214,0.1195,0.0053,0.1115,0.1467,4.3287,0.0967,0.0929,209
215,0.1185,0.0052,0.1105,0.1452,4.3054,0.0996,0.0947,209
216,0.1179,0.0053,0.1100,0.1444,4.2728,0.1040,0.0975,209
217,0.1185,0.0053,0.1105,0.1456,4.2918,0.0900,0.0857,209
218,0.1181,0.0053,0.1101,0.1456,4.2414,0.0979,0.0884,209
219,0.1182,0.0053,0.1102,0.1448,4.2996,0.1028,0.0994,209
220,0.1180,0.0052,0.1101,0.1449,4.2474,0.0872,0.0837,209
221,0.1174,0.0052,0.1096,0.1434,4.1484,0.1121,0.1062,209
222,0.1181,0.0052,0.1101,0.1451,4.3564,0.0898,0.0873,209
223,0.1178,0.0051,0.1099,0.1454,4.2306,0.0942,0.0922,209
224,0.1177,0.0052,0.1098,0.1453,4.2656,0.1008,0.0958,209
225,0.1171,0.0052,0.1092,0.1450,4.2236,0.1047,0.0980,209
226,0.1173,0.0052,0.1094,0.1438,4.2519,0.0917,0.0874,209
227,0.1171,0.0052,0.1092,0.1441,4.1889,0.0972,0.0915,209
228,0.1179,0.0053,0.1100,0.1455,4.2517,0.1036,0.1055,209
229,0.1169,0.0053,0.1089,0.1440,4.3249,0.0917,0.0853,209
230,0.1167,0.0051,0.1089,0.1436,4.2096,0.0918,0.0890,209
231,0.1169,0.0051,0.1090,0.1436,4.3326,0.0976,0.0935,209
232,0.1162,0.0052,0.1083,0.1438,4.2283,0.0987,0.0940,209
233,0.1171,0.0052,0.1093,0.1453,4.1737,0.1126,0.1059,209
234,0.1167,0.0053,0.1088,0.1445,4.2928,0.0929,0.0902,209
235,0.1169,0.0054,0.1088,0.1450,4.2909,0.0914,0.0872,209
236,0.1162,0.0052,0.1082,0.1436,4.2987,0.0966,0.0956,209
237,0.1162,0.0052,0.1084,0.1448,4.1829,0.1100,0.1077,209
238,0.1158,0.0051,0.1079,0.1435,4.3146,0.0913,0.0879,209
239,0.1162,0.0053,0.1082,0.1443,4.2347,0.1028,0.0950,209
240,0.1159,0.0053,0.1078,0.1432,4.3281,0.0913,0.0845,209
241,0.1153,0.0053,0.1075,0.1431,4.1101,0.1211,0.1235,209
242,0.1158,0.0053,0.1077,0.1434,4.3886,0.0857,0.0852,209
243,0.1155,0.0053,0.1074,0.1435,4.3341,0.0899,0.0858,209
244,0.1154,0.0052,0.1075,0.1437,4.2592,0.0928,0.0887,209
245,0.1159,0.0054,0.1078,0.1448,4.3616,0.0882,0.0817,209
246,0.1154,0.0052,0.1074,0.1442,4.3008,0.0968,0.0911,209
247,0.1147,0.0052,0.1068,0.1432,4.2701,0.0944,0.0874,209
248,0.1155,0.0053,0.1074,0.1436,4.3755,0.0890,0.0879,209
249,0.1146,0.0052,0.1067,0.1429,4.2526,0.1068,0.0998,209
250,0.1148,0.0052,0.1068,0.1430,4.3334,0.0935,0.0880,209
251,0.1147,0.0052,0.1067,0.1439,4.3611,0.0835,0.0787,209
252,0.1140,0.0052,0.1061,0.1419,4.2408,0.1047,0.0998,209
253,0.1145,0.0052,0.1064,0.1429,4.3818,0.0944,0.0889,209
254,0.1145,0.0052,0.1065,0.1435,4.3712,0.0848,0.0827,209
255,0.1146,0.0052,0.1067,0.1444,4.2947,0.1036,0.0986,209
256,0.1143,0.0052,0.1063,0.1439,4.3492,0.0867,0.0790,209
257,0.1141,0.0054,0.1060,0.1425,4.3344,0.0890,0.0861,209
258,0.1141,0.0052,0.1062,0.1426,4.2988,0.1014,0.0955,209
259,0.1137,0.0052,0.1056,0.1423,4.3811,0.0938,0.0841,209
260,0.1138,0.0051,0.1059,0.1432,4.2787,0.0963,0.0892,209
261,0.1136,0.0052,0.1057,0.1424,4.2955,0.1052,0.0969,209
262,0.1138,0.0052,0.1058,0.1431,4.3990,0.0847,0.0787,209
263,0.1136,0.0052,0.1058,0.1440,4.2730,0.0978,0.0937,209
264,0.1134,0.0052,0.1054,0.1433,4.3259,0.0946,0.0876,209
265,0.1133,0.0052,0.1053,0.1427,4.3195,0.1027,0.1013,209
266,0.1133,0.0052,0.1053,0.1423,4.3502,0.1014,0.0901,209
267,0.1132,0.0051,0.1052,0.1430,4.4165,0.0924,0.0908,209
268,0.1131,0.0051,0.1051,0.1430,4.3958,0.0922,0.0897,209
269,0.1132,0.0051,0.1053,0.1442,4.3223,0.0940,0.0922,209
270,0.1127,0.0053,0.1046,0.1426,4.3770,0.0806,0.0760,209
271,0.1130,0.0052,0.1050,0.1435,4.4008,0.0879,0.0837,209
272,0.1133,0.0052,0.1053,0.1434,4.3661,0.0831,0.0818,209
273,0.1126,0.0052,0.1047,0.1427,4.3244,0.1000,0.0931,209
274,0.1130,0.0053,0.1048,0.1436,4.4558,0.0941,0.0882,209
275,0.1125,0.0052,0.1044,0.1430,4.4700,0.0916,0.0866,209
276,0.1125,0.0053,0.1043,0.1421,4.4768,0.0854,0.0807,209
277,0.1119,0.0053,0.1038,0.1421,4.3608,0.1127,0.1117,209
278,0.1122,0.0052,0.1043,0.1434,4.3026,0.0919,0.0821,209
279,0.1125,0.0053,0.1043,0.1430,4.4579,0.0826,0.0766,209
280,0.1128,0.0053,0.1047,0.1438,4.3995,0.0997,0.0944,209
281,0.1123,0.0053,0.1041,0.1436,4.4469,0.0816,0.0793,209
282,0.1121,0.0052,0.1041,0.1437,4.3775,0.0974,0.0928,209
283,0.1123,0.0052,0.1042,0.1437,4.4203,0.0855,0.0775,209
284,0.1119,0.0052,0.1039,0.1444,4.3780,0.0978,0.0946,209
285,0.1120,0.0052,0.1038,0.1442,4.5739,0.0818,0.0803,209
286,0.1124,0.0052,0.1043,0.1448,4.4215,0.0917,0.0885,209
287,0.1116,0.0052,0.1037,0.1433,4.3206,0.0952,0.0935,209
288,0.1114,0.0052,0.1033,0.1434,4.3999,0.1021,0.0945,209
289,0.1123,0.0053,0.1041,0.1441,4.5105,0.0791,0.0765,209
290,0.1112,0.0052,0.1032,0.1435,4.3624,0.1058,0.0996,209
291,0.1114,0.0051,0.1034,0.1439,4.4326,0.0881,0.0809,209
292,0.1117,0.0052,0.1036,0.1431,4.4782,0.0990,0.0939,209
293,0.1113,0.0051,0.1033,0.1430,4.4959,0.0884,0.0859,209
294,0.1111,0.0052,0.1030,0.1428,4.4311,0.0799,0.0764,209
295,0.1110,0.0052,0.1030,0.1428,4.4087,0.0845,0.0814,209
296,0.1112,0.0053,0.1030,0.1425,4.5121,0.0791,0.0776,209
297,0.1103,0.0054,0.1019,0.1371,4.6686,0.0799,0.0788,209
298,0.1090,0.0057,0.1001,0.1319,4.8607,0.0631,0.0583,209
299,0.1079,0.0055,0.0993,0.1309,4.7592,0.0791,0.0739,209
300,0.1081,0.0057,0.0992,0.1300,4.8697,0.0611,0.0620,209
301,0.1079,0.0056,0.0992,0.1299,4.8129,0.0686,0.0682,209
302,0.1078,0.0056,0.0991,0.1302,4.8345,0.0657,0.0650,209
303,0.1071,0.0056,0.0984,0.1293,4.7319,0.0780,0.0747,209
304,0.1069,0.0056,0.0983,0.1291,4.7285,0.0710,0.0659,209
305,0.1069,0.0055,0.0982,0.1294,4.8019,0.0715,0.0696,209
306,0.1067,0.0055,0.0981,0.1292,4.6978,0.0816,0.0787,209
307,0.1065,0.0055,0.0979,0.1279,4.8363,0.0677,0.0665,209
308,0.1062,0.0056,0.0974,0.1287,4.8347,0.0735,0.0717,209
309,0.1067,0.0056,0.0979,0.1294,4.8162,0.0781,0.0760,209
310,0.1064,0.0055,0.0978,0.1287,4.7224,0.0765,0.0720,209
311,0.1065,0.0056,0.0978,0.1284,4.7716,0.0712,0.0658,209
312,0.1061,0.0058,0.0971,0.1278,4.9591,0.0681,0.0624,209
313,0.1062,0.0055,0.0976,0.1290,4.8115,0.0682,0.0682,209
314,0.1059,0.0055,0.0972,0.1286,4.8495,0.0695,0.0649,209
315,0.1061,0.0057,0.0972,0.1275,4.9213,0.0694,0.0694,209
316,0.1055,0.0056,0.0969,0.1277,4.7334,0.0829,0.0791,209
317,0.1060,0.0057,0.0973,0.1283,4.7976,0.0713,0.0707,209
318,0.1059,0.0057,0.0972,0.1292,4.8232,0.0723,0.0648,209
319,0.1059,0.0056,0.0971,0.1280,4.8857,0.0682,0.0666,209
320,0.1056,0.0056,0.0969,0.1287,4.8451,0.0753,0.0737,209
321,0.1054,0.0056,0.0967,0.1279,4.8194,0.0686,0.0661,209
322,0.1058,0.0058,0.0969,0.1288,4.7671,0.0811,0.0772,209
323,0.1057,0.0055,0.0970,0.1297,4.9222,0.0722,0.0695,209
324,0.1056,0.0055,0.0970,0.1287,4.7635,0.0694,0.0666,209
325,0.1055,0.0055,0.0969,0.1282,4.7729,0.0800,0.0744,209
326,0.1051,0.0055,0.0966,0.1276,4.6521,0.0939,0.0853,208
327,0.1052,0.0056,0.0965,0.1283,4.8072,0.0853,0.0795,209
328,0.1048,0.0056,0.0961,0.1265,4.7520,0.0839,0.0797,209
329,0.1055,0.0056,0.0968,0.1290,4.8117,0.0766,0.0701,209
330,0.1052,0.0056,0.0964,0.1280,4.8064,0.0707,0.0678,209
331,0.1049,0.0056,0.0961,0.1273,4.9293,0.0668,0.0638,209
332,0.1051,0.0056,0.0963,0.1282,4.8912,0.0633,0.0629,209
